,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
,open,high,low,close,volume,trade_count,vwap
timestamp,,,,,,,
2022-02-01 05:00:00+00:00,310.535,310.63,305.1293,308.76,40845829,596743,307.400395
2022-02-02 05:00:00+00:00,309.63,315.12,308.88,313.46,36591486,512078,312.21323
2022-02-03 05:00:00+00:00,309.47,311.23,299.96,301.25,43648997,584025,305.247126
2022-02-04 05:00:00+00:00,300.21,308.8,299.97,305.94,35008085,507768,305.394093
2022-02-07 05:00:00+00:00,306.17,307.84,299.9,300.95,28475851,425346,303.344025
2022-02-08 05:00:00+00:00,301.25,305.561,299.95,304.56,32344327,422220,303.668811
2022-02-09 05:00:00+00:00,309.865,311.93,307.41,311.21,30630520,429902,309.634102
2022-02-10 05:00:00+00:00,304.04,309.12,300.7,302.38,44086825,583449,304.062997
2022-02-11 05:00:00+00:00,303.19,304.29,294.22,295.04,37625984,579218,298.15178
2022-02-14 05:00:00+00:00,293.77,296.76,291.35,295.0,34368714,504599,294.426652
2022-02-15 05:00:00+00:00,300.008,300.8,297.02,300.47,26678191,387236,299.567171
2022-02-16 05:00:00+00:00,298.365,300.87,293.68,299.5,29267918,401279,297.471149
2022-02-17 05:00:00+00:00,296.39,296.8,290.0,290.73,31712629,489851,292.989325
2022-02-18 05:00:00+00:00,293.05,293.86,286.305,287.93,33329173,531188,289.145794
2022-02-22 05:00:00+00:00,285.0,291.54,284.5,287.72,40443571,576890,287.65005
2022-02-23 05:00:00+00:00,290.18,291.7,280.1,280.34,37862459,647357,284.225099
2022-02-24 05:00:00+00:00,272.51,295.16,271.52,294.59,57209360,809375,285.485466
2022-02-25 05:00:00+00:00,295.185,297.62,291.655,297.31,31040429,489754,295.702993
2022-02-28 05:00:00+00:00,294.31,299.14,293.0,298.79,32985981,420204,296.569539
2022-03-01 05:00:00+00:00,296.4,299.97,292.15,294.95,29765710,433927,295.854916
2022-03-02 05:00:00+00:00,295.36,301.44,293.698,300.19,30332595,497975,298.870515
2022-03-03 05:00:00+00:00,302.89,303.13,294.05,295.92,26200571,386255,297.477721
2022-03-04 05:00:00+00:00,294.29,295.66,287.165,289.86,31208173,513154,289.977581
2022-03-07 05:00:00+00:00,288.53,289.69,278.53,278.91,41736803,642285,281.667713
2022-03-08 05:00:00+00:00,277.8,283.96,270.0,275.85,46348347,666110,276.566533
2022-03-09 05:00:00+00:00,283.44,289.6,280.78,288.5,33694771,476601,286.224704
2022-03-10 05:00:00+00:00,283.02,286.6,280.58,285.59,29498289,446996,283.980042
2022-03-11 05:00:00+00:00,287.96,289.51,279.43,280.07,26376514,402780,283.716536
2022-03-14 04:00:00+00:00,280.34,285.3992,275.82,276.44,29357508,413400,279.735597
2022-03-15 04:00:00+00:00,280.35,287.82,278.725,287.15,33386352,489838,284.062859
2022-03-16 04:00:00+00:00,289.11,294.57,283.2,294.39,36642309,506624,290.76988
2022-03-17 04:00:00+00:00,293.29,295.61,289.37,295.22,29904272,416415,293.183231
2022-03-18 04:00:00+00:00,295.37,300.99,292.73,300.43,42681005,403872,297.951259
2022-03-21 04:00:00+00:00,298.89,300.14,294.9,299.16,27665277,422808,297.871745
2022-03-22 04:00:00+00:00,299.8,305.0,298.77,304.06,27194404,395630,303.129464
2022-03-23 04:00:00+00:00,300.69,303.23,297.7201,299.49,25321621,351868,300.582102
2022-03-24 04:00:00+00:00,299.14,304.2,298.315,304.1,24010405,309489,301.847779
2022-03-25 04:00:00+00:00,305.23,305.5,299.2855,303.68,22380012,336098,302.502535
2022-03-28 04:00:00+00:00,304.33,310.8,304.33,310.7,57447113,711073,308.890743
2022-03-29 04:00:00+00:00,313.91,315.82,309.05,315.41,30413265,423782,313.275189
2022-03-30 04:00:00+00:00,313.76,315.95,311.58,313.86,28163555,340160,313.713418
2022-03-31 04:00:00+00:00,313.9,315.14,307.89,308.31,33255433,351808,310.418896
2022-04-01 04:00:00+00:00,309.37,310.13,305.54,309.42,27035599,313495,308.048886
2022-04-04 04:00:00+00:00,310.09,315.11,309.71,314.97,24270782,298653,313.755361
2022-04-05 04:00:00+00:00,313.27,314.865,309.87,310.88,23043424,309787,311.797558
2022-04-06 04:00:00+00:00,305.19,307.0,296.71,299.4,35635336,544359,300.584478
2022-04-07 04:00:00+00:00,296.66,303.65,296.35,301.37,28561404,354844,300.879378
2022-04-08 04:00:00+00:00,300.44,301.12,296.28,296.97,24269578,306584,298.283426
2022-04-11 04:00:00+00:00,291.79,292.61,285.0,285.26,34543387,498729,286.83503
2022-04-12 04:00:00+00:00,289.235,290.739,280.49,282.06,30822472,432448,284.966303
2022-04-13 04:00:00+00:00,282.73,288.58,281.3,287.62,21775922,287849,285.821697
2022-04-14 04:00:00+00:00,288.09,288.305,279.32,279.83,28136691,379998,282.372072
2022-04-18 04:00:00+00:00,278.91,282.46,278.34,280.52,20725038,297668,280.179886
2022-04-19 04:00:00+00:00,279.38,286.17,278.41,285.3,22221396,310834,283.747304
2022-04-20 04:00:00+00:00,289.38,289.7,285.3702,286.36,22752194,310940,286.990779
2022-04-21 04:00:00+00:00,288.58,293.3,280.06,280.81,29295674,408092,285.602204
2022-04-22 04:00:00+00:00,281.68,283.2,273.38,274.03,29214845,449632,277.065979
2022-04-25 04:00:00+00:00,273.29,281.11,270.77,280.72,35442972,502608,276.913262
